#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT    hPa  degC  degC  degC  nmi hPa     ft
26 05 15 06 00 175  5.2  5.2  1.48   6.9   5.8 132 1016.3  25.6  26.9  22.5 99.0 +0.12    MM
26 05 15 05 00 214  6.8  6.9  0.90   6.0   5.1 176 1020.2  26.0  26.9  22.5 99.0 -0.73    MM
26 05 15 04 00 170  6.5  7.3  1.10   7.4   6.3 176 1018.1  24.2  27.3  19.7 99.0 -1.31    MM
26 05 15 03 00 161  3.7  4.2  1.47   5.8   4.9 191 1011.0  25.7  26.9  22.6 99.0 +0.41    MM
26 05 15 02 00 199  6.2  6.8  1.39   6.4   5.4 152 1013.1  26.5  26.9  21.2 99.0 -0.41    MM
26 05 15 01 00 147  7.0  8.5  1.40   7.8   6.7 205 1014.6  23.6  26.7  19.7 99.0 -0.72    MM
26 05 15 00 00 181  6.0  6.3  1.49   7.6   6.4 228 1017.5  24.8  26.7  21.0 99.0 +0.48    MM
26 05 14 23 00 162  5.4  6.0  0.91   6.7   5.7 123 1010.7  24.8  27.2  20.6 99.0 -0.01    MM
26 05 14 22 00 187  5.8  6.8  1.56   7.3   6.2 144 1018.6  26.2  27.6  23.1 99.0 +0.98    MM
26 05 14 21 00 169  8.7  8.8  0.99   5.9   5.0 166 1020.7  26.8  27.3  21.4 99.0 +0.36    MM
26 05 14 20 00 196  4.4  4.8  1.20   8.7   7.4 143 1013.3  27.5  26.8  24.2 99.0 +0.05    MM
26 05 14 19 00 142  5.9  7.0  1.55   7.0   6.0 227 1016.1  27.5  26.3  24.4 99.0 +0.16    MM
26 05 14 18 00 232  2.1  2.5  1.44   8.5   7.3 187 1015.2  24.6  26.4  21.4 99.0 -0.10    MM
26 05 14 17 00 240  4.3  4.5  0.57   6.6   5.6 176 1018.3  27.5  27.0  23.4 99.0 +0.23    MM
26 05 14 16 00 195  6.5  7.2  1.65   7.1   6.0 187 1020.1  26.2  27.1  21.1 99.0 +0.12    MM
26 05 14 15 00 171  5.7  7.0  1.25   7.5   6.4 199 1012.9  22.7  27.1  19.4 99.0 -0.30    MM
26 05 14 14 00 206  6.7  7.7  1.41   6.8   5.8 132 1016.8  25.1  26.6  21.6 99.0 +0.24    MM
26 05 14 13 00 162  6.3  7.3  0.91   7.4   6.3 170 1024.1  22.4  27.3  19.1 99.0 -0.05    MM
26 05 14 12 00 237  5.5  7.3  1.02   7.4   6.2 157 1012.2  25.2  26.9  22.0 99.0 -1.05    MM
26 05 14 11 00 240  5.2  6.5  0.80   7.3   6.2 249 1011.5  22.8  26.7  19.3 99.0 +0.35    MM
26 05 14 10 00 218  5.0  6.2  1.03   8.2   7.0 181 1007.2  24.9  27.7  19.8 99.0 +0.28    MM
26 05 14 09 00 189  3.0  3.4  1.22   7.5   6.4 184 1013.1  23.2  26.6  19.1 99.0 +0.32    MM
26 05 14 08 00 110  4.8  5.2  1.81   7.1   6.0 195 1013.4  23.8  26.7  19.3 99.0 +0.50    MM
26 05 14 07 00 194 12.2 12.2  1.45   7.3   6.2 164 1024.3  27.1  26.3  23.7 99.0 +0.21    MM
26 05 14 06 00 203  2.8  3.8  0.44   6.9   5.9 167 1016.4  99.9  26.4  18.6 99.0 +0.16    MM
26 05 14 05 00 191  7.5  8.4  1.12   8.3   7.1 166 1012.4  24.0  26.7  18.8 99.0 +0.08    MM
26 05 14 04 00 187  4.8  5.3  1.35   8.7   7.4 170 1013.0  23.8  27.0  19.5 99.0 -0.06    MM
26 05 14 03 00 181  9.2 10.5  1.61   6.3   5.3 186 1010.4  25.1  27.2  21.4 99.0 +1.00    MM
26 05 14 02 00 197  1.7  1.8  1.04   7.0   6.0 181 1016.6  21.5  26.4  17.8 99.0 +0.65    MM
26 05 14 01 00 237  9.1 11.9  1.51   5.1   4.3 210 1016.0  22.8  28.0  19.2 99.0 -0.95    MM
26 05 14 00 00 188  4.0  4.1  1.01   8.4   7.1 134 1016.3  27.2  26.6  24.0 99.0 +0.10    MM
26 05 13 23 00 159  6.8  6.9  0.82   8.8   7.4 189 1014.3  23.5  26.6  19.3 99.0 -0.07    MM
26 05 13 22 00 193  5.1  5.6  1.15   7.8   6.6 165 1018.3  25.4  26.9  21.5 99.0 -0.47    MM
26 05 13 21 00 157  3.5  4.0  1.18   8.6   7.3 226 1015.1  22.0  26.8  19.0 99.0 -0.74    MM
26 05 13 20 00 172  6.1  6.5  0.89   6.2   5.3 214 1014.4  23.1  26.8  19.1 99.0 -0.34    MM
26 05 13 19 00 194  7.0  7.7  1.76   6.4   5.5 198 1011.8  23.7  27.6  19.8 99.0 +0.00    MM
26 05 13 18 00 144  6.6  7.2  0.83   6.4   5.4 176 1006.5  24.7  27.1  21.2 99.0 +0.52    MM
26 05 13 17 00 198  4.3  4.7  1.48   5.5   4.7 161 1012.5  24.3  27.1  21.2 99.0 +0.57    MM
26 05 13 16 00 186  4.9  5.8  1.49   7.5   6.4 206 1012.0  24.1  27.0  21.1 99.0 +0.01    MM
26 05 13 15 00 128  7.1  7.9  1.65   9.2   7.9 162 1014.9  24.1  28.0  19.3 99.0 +0.24    MM
26 05 13 14 00 135  0.3  0.4  0.65   8.1   6.9 148 1014.1  22.3  27.3  18.2 99.0 +0.66    MM
26 05 13 13 00 150  4.0  4.0  1.21   8.4   7.2 173 1010.2  23.1  26.7  19.4 99.0 +0.19    MM
26 05 13 12 00 176  7.2  7.8  1.15   7.2   6.1 208 1014.6  23.4  26.5  19.7 99.0 -0.29    MM
26 05 13 11 00 190  1.7  2.0  0.67   6.2   5.3 196 1009.7  23.7  27.0  19.7 99.0 +0.67    MM
26 05 13 10 00 224  1.6  1.9  1.52   5.7   4.8 160 1015.5  24.8  26.9  21.7 99.0 -0.39    MM
26 05 13 09 00 218  4.5  4.7  1.00   7.1   6.0 165 1014.4  22.2  27.4  17.8 99.0 +0.12    MM
26 05 13 08 00 201  7.2  8.2  1.32   7.2   6.1 191 1015.3  22.2  27.0  17.4 99.0 -0.00    MM
26 05 13 07 00 192  8.0  8.2  1.57   7.0   5.9 144 1009.4  22.2  26.3  18.6 99.0 -0.10    MM
26 05 13 06 00 197  5.6  6.5  1.62   6.4   5.4 163 1012.9  21.2  27.3  17.0 99.0 -0.00    MM
26 05 13 05 00 165  7.7 10.4  1.27   7.1   6.1 155 1020.6  25.0  26.9  21.9 99.0 -0.19    MM
26 05 13 04 00 164  2.9  3.5  1.61   7.8   6.6 142 1023.3  26.5  27.1  22.6 99.0 -0.43    MM
26 05 13 03 00 192  3.7  3.7  1.64   5.5   4.7 220 1021.3  21.6  26.3  18.3 99.0 -0.52    MM
26 05 13 02 00 172  0.3  0.3  1.92   5.9   5.0 163 1009.0  24.4  26.9  19.4 99.0 +0.10    MM
26 05 13 01 00 168  6.6  7.1  0.66   7.3   6.2 165 1015.7  23.9  26.7  20.5 99.0 +0.87    MM
26 05 13 00 00 146  9.0  9.3  0.89   9.4   8.0 173 1020.5  24.5  26.2  21.4 99.0 -0.26    MM
26 05 12 23 00 139  2.0  2.0  1.44   7.4   6.3 162 1011.8  21.8  26.7  17.7 99.0 -0.10    MM
26 05 12 22 00 179  3.7  3.8  0.90   7.0   5.9 182 1015.7  23.9  26.2  20.5 99.0 +0.14    MM
26 05 12 21 00 199  2.3  2.4  1.68   6.8   5.8 167 1016.8  23.5  27.3  20.4 99.0 +0.08    MM
26 05 12 20 00 156  5.2  6.1  1.12   6.8   5.8 157 1018.1  21.8  27.5  17.9 99.0 -0.53    MM
26 05 12 19 00 186  5.8  6.0  1.63   6.6   5.6 181 1011.4  24.9  27.3  21.4 99.0 +0.09    MM
26 05 12 18 00 156  4.8  5.2  1.19   7.1   6.1 136 1015.7  22.0  26.5  18.8 99.0 -0.93    MM
26 05 12 17 00 200  7.2  7.3  0.80   6.1   5.1 166 1005.3  23.2  27.3  19.9 99.0 -0.25    MM
26 05 12 16 00 185  6.2  7.2  1.21   6.3   5.4 158 1015.7  25.2  26.8  21.2 99.0 -0.44    MM
26 05 12 15 00 117  6.2  7.4  0.71   5.0   4.3 142 1017.3  20.9  26.1  17.7 99.0 -0.17    MM
26 05 12 14 00 192  7.0  7.0  0.68   6.9   5.8 182 1012.7  20.6  27.6  17.2 99.0 -0.20    MM
26 05 12 13 00 180  7.6  7.9  1.07   7.7   6.5 223 1020.6  23.8  26.4  17.0 99.0 -0.60    MM
